Mar 24 15:00:51 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 24 15:00:51 ubuntu dstat.sh[65379]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 24 15:00:51 ubuntu dstat.sh[65379]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 24 15:04:14 ubuntu dstat.sh[65379]: 24-03 15:04:14| 56   8  30   4   0|1731M  418M  176M 5405M|4979B 1620B|   0    33M|   0  2197 |  10k   16k|2.07 1.54 0.85|3.0   0  91|   0     0 |           | 11   38    0   24    0
Mar 24 15:04:15 ubuntu dstat.sh[65379]: 24-03 15:04:15| 32  10  42  13   0|1729M  408M  176M 5417M|6204B 1619B|   0   103M|   0  7700 |  28k   58k|2.07 1.54 0.85|5.0   0 249|   0     0 |           | 11   38    0   24    0
Mar 24 15:04:16 ubuntu dstat.sh[65379]: 24-03 15:04:16| 28  13  43  13   0|1761M  367M  176M 5425M|6265B 1510B|   0    97M|   0  7194 |  26k   56k|2.07 1.54 0.85|2.0   0 207|   0     0 |           | 11   38    0   25    0
Mar 24 15:04:17 ubuntu dstat.sh[65379]: 24-03 15:04:17| 39  12  34  14   0|1672M  445M  177M 5436M|5145B 1566B|   0    68M|   0  5070 |  21k   39k|2.07 1.54 0.85|5.0   0 252|   0     0 |           | 11   36    0   24    0
Mar 24 15:04:18 ubuntu dstat.sh[65379]: 24-03 15:04:18| 43  12  32  12   0|1732M  374M  177M 5447M|4784B 1298B|   0    85M|   0  5890 |  20k   40k|2.31 1.60 0.87|2.0 1.0  64|   0     0 |           | 11   36    0   24    0
Mar 24 15:04:19 ubuntu dstat.sh[65379]: 24-03 15:04:19| 38  11  35  13   0|1778M  318M  177M 5457M|4402B  809B|   0    96M|   0  6793 |  23k   46k|2.31 1.60 0.87|3.0 1.0  56|   0     0 |           | 11   38    0   24    0
Mar 24 15:04:20 ubuntu dstat.sh[65379]: 24-03 15:04:20| 44   9  36  10   0|1721M  371M  177M 5459M|3987B  703B|   0    79M|   0  5744 |  18k   38k|2.31 1.60 0.87|2.0   0 153|   0     0 |           | 11   36    0   24    0
Mar 24 15:04:21 ubuntu dstat.sh[65379]: 24-03 15:04:21| 21  15  62   0   0|1456M  637M  177M 5459M|4651B 1295B|   0  1403k|   0  76.9 |4398  3244 |2.31 1.60 0.87|1.0   0 249|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:22 ubuntu dstat.sh[65379]: 24-03 15:04:22| 23   4  73   1   0|1463M  630M  177M 5459M|3389B 1027B|   0  4949k|   0   265 |2175  2198 |2.31 1.60 0.87|1.0   0 1.0|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:23 ubuntu dstat.sh[65379]: 24-03 15:04:23| 23   3  73   0   0|1510M  582M  177M 5459M|4288B 1511B|   0    32k|   0  4.00 |1886  1343 |2.20 1.59 0.87|1.0   0 2.0|   0     0 |           | 11   36    0   24    0
Mar 24 15:04:24 ubuntu dstat.sh[65379]: 24-03 15:04:24| 22   4  73   0   0|1452M  640M  177M 5459M|4370B 1567B|   0   148k|   0  12.0 |2326  1750 |2.20 1.59 0.87|1.0   0  28|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:25 ubuntu dstat.sh[65379]: 24-03 15:04:25| 22   3  74   0   0|1441M  652M  177M 5459M|3476B  863B|   0    32k|   0  3.99 |1757  1222 |2.20 1.59 0.87|1.0   0 1.0|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:26 ubuntu dstat.sh[65379]: 24-03 15:04:26| 23   2  73   0   0|1469M  623M  177M 5459M|3544B 1187B|   0   547k|   0  45.0 |2042  1786 |2.20 1.59 0.87|1.0   0 2.0|   0     0 |           | 11   34    0   24    0
Mar 24 15:04:27 ubuntu dstat.sh[65379]: 24-03 15:04:27| 15  25  59   0   0|1393M  700M  177M 5459M|4328B 1665B|   0   297k|   0  41.1 |5321  4366 |2.20 1.59 0.87|3.0   0 553|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:28 ubuntu dstat.sh[65379]: 24-03 15:04:28| 11  34  54   0   0|1393M  699M  177M 5460M|4128B 1567B|   0   344k|   0  25.0 |6999  6094 |2.35 1.63 0.89|1.0   0 787|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:29 ubuntu dstat.sh[65379]: 24-03 15:04:29|  8  23  68   0   0|1383M  710M  177M 5460M|5027B 1566B|   0   116k|   0  13.0 |5765  4056 |2.35 1.63 0.89|1.0   0 433|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:30 ubuntu dstat.sh[65379]: 24-03 15:04:30|  8  20  71   0   0|1355M  737M  177M 5460M|5751B 1563B|   0   347k|   0  78.8 |5660  4201 |2.35 1.63 0.89|1.0   0 362|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:31 ubuntu dstat.sh[65379]: 24-03 15:04:31| 10  21  67   0   0|1341M  752M  177M 5460M|6671B 1298B|   0    28k|   0  7.01 |5329  3670 |2.35 1.63 0.89|1.0   0 297|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:32 ubuntu dstat.sh[65379]: 24-03 15:04:32| 18  17  63   0   0|1344M  746M  177M 5462M|5506B 1239B|2124k  451k|37.9  5.99 |5637  7517 |2.35 1.63 0.89|1.0   0 224|   0     0 |           | 11   32    0   24    0
Mar 24 15:04:33 ubuntu dstat.sh[65379]: 24-03 15:04:33| 47  14  38   1   0|1446M  638M  177M 5468M|6180B 1841B|5162k  724k|90.0  41.0 |4132  3176 |2.48 1.67 0.90|2.0   0 140|   0     0 |           | 11   33    1   24    0
Mar 24 15:04:34 ubuntu dstat.sh[65379]: 24-03 15:04:34| 44   7  49   0   0|1538M  547M  177M 5468M|5075B 1529B|   0     0 |   0     0 |3131  1938 |2.48 1.67 0.90|3.0   0 5.0|   0     0 |           | 11   41    1   24    0
Mar 24 15:04:35 ubuntu dstat.sh[65379]: 24-03 15:04:35| 45   6  48   0   0|1617M  466M  177M 5469M|5795B 1699B|   0   879k|   0  43.1 |3387  2650 |2.48 1.67 0.90|3.0   0  15|   0     0 |           | 11   49    1   24    0
Mar 24 15:04:36 ubuntu dstat.sh[65379]: 24-03 15:04:36| 14  19  64   0   0|1631M  449M  177M 5472M|4993B 1531B|   0   452k|   0  33.0 |7391    10k|2.48 1.67 0.90|2.0   0 267|   0     0 |           | 11   48    1   25    0
Mar 24 15:04:37 ubuntu dstat.sh[65379]: 24-03 15:04:37| 18  17  64   0   0|1628M  452M  177M 5472M|4806B 1738B|   0   156k|   0  10.0 |6340  8284 |2.48 1.67 0.90|2.0   0 228|   0     0 |           | 11   48    1   25    0
Mar 24 15:04:38 ubuntu dstat.sh[65379]: 24-03 15:04:38|  0   0  98   0   0|1629M  451M  177M 5472M|4720B 1680B|   0   304k|   0  9.99 | 703   994 |2.28 1.64 0.90|  0   0   0|   0     0 |           | 11   48    1   25    0
Mar 24 15:04:39 ubuntu dstat.sh[65379]: 24-03 15:04:39|  1   1  98   0   0|1629M  451M  177M 5472M|5083B 1512B|   0  4097B|   0  1.00 | 766  1015 |2.28 1.64 0.90|  0   0 3.0|   0     0 |           | 11   48    1   25    0
Mar 24 15:04:40 ubuntu dstat.sh[65379]: 24-03 15:04:40|  1   1  98   0   0|1629M  451M  177M 5472M|4699B 1695B|   0  4358k|   0   344 | 865  1086 |2.28 1.64 0.90|  0   0 3.0|   0     0 |           | 11   48    1   25    0
Mar 24 15:04:41 ubuntu dstat.sh[65379]: 24-03 15:04:41|  0   1  99   0   0|1629M  451M  177M 5472M|4578B 1458B|   0     0 |   0     0 | 667   974 |2.28 1.64 0.90|  0   0 1.0|   0     0 |           | 11   48    1   25    0
Mar 24 15:04:42 ubuntu dstat.sh[65379]: 24-03 15:04:42| 13  12  73   0   0|1631M  449M  177M 5472M|4770B 1721B|   0  7112k|   0   344 |5213  7431 |2.28 1.64 0.90|3.0   0 241|   0     0 |           | 11   48    1   23    0
Mar 24 15:04:43 ubuntu dstat.sh[65379]: 24-03 15:04:43| 13  16  70   0   0|1675M  404M  177M 5472M|5200B 1632B|   0  3676k|   0   134 |5757  6831 |2.18 1.63 0.90|3.0   0 264|   0     0 |           | 11   48    1   23    0
Mar 24 15:04:44 ubuntu dstat.sh[65379]: 24-03 15:04:44| 15  17  66   0   0|1672M  407M  177M 5472M|4977B 1933B|   0   112k|   0  9.00 |6302  6842 |2.18 1.63 0.90|1.0   0 305|   0     0 |           | 12   50    1   23    0
Mar 24 15:04:45 ubuntu dstat.sh[65379]: 24-03 15:04:45| 14  12  73   0   0|1659M  420M  177M 5472M|4805B 1616B|   0   427k|   0  34.9 |5196  6291 |2.18 1.63 0.90|  0   0 249|   0     0 |           | 12   64    1   23    0
Mar 24 15:04:46 ubuntu dstat.sh[65379]: 24-03 15:04:46|  8  12  78   0   0|1663M  417M  177M 5472M|4459B 1458B|   0   520k|   0  36.0 |4834  5696 |2.18 1.63 0.90|2.0   0 204|   0     0 |           | 14   64    1   17    0
Mar 24 15:04:47 ubuntu dstat.sh[65379]: 24-03 15:04:47| 16  14  68   0   0|1645M  435M  177M 5472M|4329B 1623B|   0    32k|   0  7.01 |5359  6109 |2.18 1.63 0.90|1.0   0 259|   0     0 |           | 14   66    1   17    0
Mar 24 15:04:48 ubuntu dstat.sh[65379]: 24-03 15:04:48|  8  21  69   0   0|1632M  448M  177M 5472M|4499B 1620B|   0  2592k|   0  30.0 |6315  5181 |2.08 1.62 0.90|1.0   0 480|   0     0 |           | 14   66    1   17    0
Mar 24 15:04:49 ubuntu dstat.sh[65379]: 24-03 15:04:49| 19  15  65   0   0|1634M  446M  177M 5472M|3041B  204B|   0    24k|   0  6.00 |6308  8084 |2.08 1.62 0.90|2.0   0 212|   0     0 |           | 14   66    1   17    0
Mar 24 15:04:50 ubuntu dstat.sh[65379]: 24-03 15:04:50| 29  25  45   0   0|1694M  385M  177M 5472M|5279B 1457B|   0   396k|   0  8.00 |6625  5371 |2.08 1.62 0.90|2.0   0 560|   0     0 |           | 14   66    1   16    0
Mar 24 15:04:51 ubuntu dstat.sh[65379]: 24-03 15:04:51| 28  26  44   0   0|1813M  265M  177M 5473M|4427B 1459B|   0    28k|   0  5.00 |7463  8775 |2.08 1.62 0.90|2.0   0 597|   0     0 |           | 14   68    1   17    0
Mar 24 15:04:52 ubuntu dstat.sh[65379]: 24-03 15:04:52| 31  26  42   0   0|1881M  197M  177M 5474M|4633B 1689B|   0    76k|   0  16.0 |6517  6900 |2.08 1.62 0.90|2.0   0 446|   0     0 |           | 14   70    1   18    0
Mar 24 15:04:53 ubuntu dstat.sh[65379]: 24-03 15:04:53| 53  20  27   0   0|1956M  121M  177M 5474M|4870B 1500B|   0  1736k|   0  4.00 |5549  5488 |2.32 1.67 0.92|4.0   0 294|   0     0 |           | 14   70    1   18    0
Mar 24 15:04:54 ubuntu dstat.sh[65379]: 24-03 15:04:54| 53  31  16   0   0|2052M  165M  168M 5347M|4718B 1714B| 357k   32k|26.1  8.02 |6338  5806 |2.32 1.67 0.92|3.0   0 427|   0     0 |           | 14   70    1   17    0
Mar 24 15:04:55 ubuntu dstat.sh[65379]: 24-03 15:04:55| 66  20  13   0   0|2134M  138M  167M 5294M|4907B 1454B| 263k  901k|35.9  4.99 |5325  6413 |2.32 1.67 0.92|4.0   0 288|   0     0 |           | 14   70    1   17    0
Mar 24 15:04:56 ubuntu dstat.sh[65379]: 24-03 15:04:56| 70  27   3   1   0|2267M  170M  168M 5132M|4539B 1625B|2925k 8345k| 182   505 |6780  7942 |2.32 1.67 0.92|4.0   0 431|   0     0 |           | 14   74    1   17    0
Mar 24 15:04:57 ubuntu dstat.sh[65379]: 24-03 15:04:57| 68  23   5   3   0|2410M  151M  167M 5010M|3907B  971B|  88k   18M|13.0  1044 |  11k   17k|2.32 1.67 0.92|7.0   0 259|   0     0 |           | 14   74    1   17    0
Mar 24 15:04:58 ubuntu dstat.sh[65379]: 24-03 15:04:58| 66  26   5   2   0|2523M  173M  168M 4879M|3061B  485B|1142k   21M|51.9  1910 |  13k   24k|2.61 1.75 0.95|5.0   0 414|   0     0 |           | 14   76    1   17    0
Mar 24 15:04:59 ubuntu dstat.sh[65379]: 24-03 15:04:59| 69  22   8   0   0|2601M  165M  168M 4810M|5053B 1624B| 766k 1624k|26.1  92.2 |9269    15k|2.61 1.75 0.95|5.0   0 249|   0     0 |           | 14   82    1   22    0
Mar 24 15:05:00 ubuntu dstat.sh[65379]: 24-03 15:05:00| 57  27  15   0   0|2707M  196M  168M 4676M|4758B 1620B|  28k 1116k|6.00  54.0 |9618    13k|2.61 1.75 0.95|2.0   0 435|   0     0 |           | 14   93    1   27    0
Mar 24 15:05:01 ubuntu dstat.sh[65379]: 24-03 15:05:01| 33  26  39   0   0|2806M  164M  168M 4612M|4725B 1615B|4083B  981k|1.00  59.8 |6806  8578 |2.61 1.75 0.95|4.0   0 463|   0     0 |           | 14   95    1   27    0
Mar 24 15:05:02 ubuntu dstat.sh[65379]: 24-03 15:05:02| 48  20  31   0   0|2903M  128M  168M 4551M|4227B 1554B|2976k 5763k|32.0   282 |8480    12k|2.61 1.75 0.95|3.0   0 238|   0     0 |           | 14   98    1   27    0
Mar 24 15:05:03 ubuntu dstat.sh[65379]: 24-03 15:05:03| 45   8  47   0   0|3017M  149M  168M 4420M|4982B 1621B|4098B 2993k|1.00   307 |2938  1561 |2.56 1.75 0.96|2.0   0   0|   0     0 |           | 14   98    1   27    0
Mar 24 15:05:04 ubuntu dstat.sh[65379]: 24-03 15:05:04| 14  18  66   0   0|3030M  135M  168M 4421M|4080B 1226B|  24k 1306k|3.00  83.1 |5310  4900 |2.56 1.75 0.96|1.0   0 245|   0     0 |           | 14  101    1   28    0
Mar 24 15:05:05 ubuntu dstat.sh[65379]: 24-03 15:05:05|  8  20  70   0   0|3031M  133M  168M 4421M|4640B 1404B|   0   128k|   0  13.0 |5461  3970 |2.56 1.75 0.96|1.0   0 312|   0     0 |           | 14  101    1   28    0
Mar 24 15:05:06 ubuntu dstat.sh[65379]: 24-03 15:05:06|  8  19  71   0   0|3039M  125M  168M 4421M|4403B 1509B|   0    40k|   0  3.99 |5724  4194 |2.56 1.75 0.96|3.0   0 364|   0     0 |           | 14  101    1   26    0
Mar 24 15:05:07 ubuntu dstat.sh[65379]: 24-03 15:05:07| 20   8  73   0   0|3098M  131M  168M 4357M|4675B 1569B|8209B    0 |1.00     0 |2439  1811 |2.56 1.75 0.96|1.0   0  70|   0     0 |           | 14  101    1   26    0
Mar 24 15:05:08 ubuntu dstat.sh[65379]: 24-03 15:05:08| 16   2  80   0   0|3105M  124M  168M 4358M|  27k   23k|  12k  739k|3.00  26.0 |2650  2838 |2.36 1.72 0.95|1.0   0   0|   0     0 |           | 14  104    1   26    0
Mar 24 15:05:09 ubuntu dstat.sh[65379]: 24-03 15:05:09| 21   6  73   0   0|3082M  147M  168M 4358M|4557B 1772B|   0    64k|   0  7.00 |2560  1902 |2.36 1.72 0.95|1.0   0  64|   0     0 |           | 14  105    1   27    0
Mar 24 15:05:10 ubuntu dstat.sh[65379]: 24-03 15:05:10| 17   2  79   0   0|3105M  124M  168M 4358M|  11k 7986B|   0   444k|   0  47.0 |2396  2513 |2.36 1.72 0.95|1.0   0 4.0|   0     0 |           | 14  117    1   25    0
Mar 24 15:05:11 ubuntu dstat.sh[65379]: 24-03 15:05:11| 24   4  70   2   0|3100M  129M  168M 4358M|4796B 1567B| 180k   11M|11.0   682 |4899  6124 |2.36 1.72 0.95|3.0   0 2.0|   0     0 |           | 14  117    1   25    0
Mar 24 15:05:12 ubuntu dstat.sh[65379]: 24-03 15:05:12| 26   6  67   1   0|3044M  185M  168M 4358M|5608B 2656B| 116k 1345k|7.00   141 |5454  7483 |2.36 1.72 0.95|1.0   0  39|   0     0 |           | 14  120    1   27    0
Mar 24 15:05:13 ubuntu dstat.sh[65379]: 24-03 15:05:13| 30   9  60   0   0|3194M  164M  168M 4233M|3622B  701B|  12k  523k|3.00  36.9 |3509  2960 |2.33 1.73 0.96|1.0   0  77|   0     0 |           | 14  122    1   27    0
Mar 24 15:05:14 ubuntu dstat.sh[65379]: 24-03 15:05:14| 19   3  77   1   0|3198M  160M  168M 4233M|  11k 7870B|  40k 4507k|4.00   111 |2834  3128 |2.33 1.73 0.96|1.0   0 5.0|   0     0 |           | 14  127    1   21    0
Mar 24 15:05:15 ubuntu dstat.sh[65379]: 24-03 15:05:15| 19   5  75   1   0|3201M  157M  168M 4233M|8318B 3698B| 120k 1069k|8.01  99.1 |3712  4879 |2.33 1.73 0.96|2.0   0   0|   0     0 |           | 14  127    1   21    0
Mar 24 15:05:16 ubuntu dstat.sh[65379]: 24-03 15:05:16| 44  13  42   0   0|3284M  136M  168M 4172M|7380B 2873B|  24k  938k|2.00  86.8 |5257    14k|2.33 1.73 0.96|2.0   0 136|   0     0 |           | 14  128    1   23    0
Mar 24 15:05:17 ubuntu dstat.sh[65379]: 24-03 15:05:17| 34   6  59   0   0|3325M  157M  168M 4111M|  12k 8081B|8212B 2827k|2.00   168 |2964  2527 |2.33 1.73 0.96|1.0   0   0|   0     0 |           | 14  130    1   23    0
Mar 24 15:05:18 ubuntu dstat.sh[65379]: 24-03 15:05:18| 19   5  74   0   0|3289M  194M  168M 4111M|  21k   17k|   0   292k|   0  14.0 |2478  1844 |2.22 1.71 0.96|1.0   0  55|   0     0 |           | 14  128    1   23    0
Mar 24 15:05:19 ubuntu dstat.sh[65379]: 24-03 15:05:19| 17   3  79   0   0|3299M  183M  168M 4111M|  26k   23k|   0   295k|   0  16.0 |1880  1528 |2.22 1.71 0.96|1.0   0   0|   0     0 |           | 14  129    1   23    0
Mar 24 15:05:20 ubuntu dstat.sh[65379]: 24-03 15:05:20| 21   6  73   0   0|3294M  189M  168M 4111M|4353B 1051B|   0   260k|   0  14.0 |2286  1678 |2.22 1.71 0.96|1.0   0  51|   0     0 |           | 14  128    1   24    0
Mar 24 15:05:21 ubuntu dstat.sh[65379]: 24-03 15:05:21| 16   2  81   0   0|3311M  171M  168M 4111M|  11k 7717B|4098B 1753k|1.00   108 |2168  2299 |2.22 1.71 0.96|1.0   0   0|   0     0 |           | 14  129    1   24    0
Mar 24 15:05:22 ubuntu dstat.sh[65379]: 24-03 15:05:22| 20   7  71   0   0|3300M  182M  168M 4111M|5587B 2750B|  60k  746k|3.99  86.8 |3635  3826 |2.22 1.71 0.96|1.0   0  82|   0     0 |           | 14  128    1   25    0
Mar 24 15:05:23 ubuntu dstat.sh[65379]: 24-03 15:05:23| 25   3  70   1   0|3321M  161M  168M 4112M|  11k 7946B|  96k  432k|5.99  35.0 |6365    11k|2.93 1.87 1.01|1.0   0  32|   0     0 |           | 14  137    1   29    0
Mar 24 15:05:24 ubuntu dstat.sh[65379]: 24-03 15:05:24| 20   6  73   0   0|3347M  135M  168M 4112M|  21k   18k|   0   240k|   0  15.0 |2679  2019 |2.93 1.87 1.01|1.0   0  56|   0     0 |           | 14  136    1   30    0
Mar 24 15:05:25 ubuntu dstat.sh[65379]: 24-03 15:05:25| 16   3  80   0   0|3326M  208M  168M 4060M|  10k 8065B|   0   212k|   0  13.0 |1727  1413 |2.93 1.87 1.01|  0   0   0|   0     0 |           | 14  137    1   30    0
Mar 24 15:05:26 ubuntu dstat.sh[65379]: 24-03 15:05:26| 26   5  65   2   0|3288M  246M  168M 4060M|7070B 2950B|  40k 3517k|4.01   407 |7786    13k|2.93 1.87 1.01|1.0   0 1.0|   0     0 |           | 14  139    1   32    0
Mar 24 15:05:27 ubuntu dstat.sh[65379]: 24-03 15:05:27| 20   6  73   0   0|3325M  209M  168M 4060M|5183B 1551B|   0  1114k|   0   123 |2358  1837 |2.93 1.87 1.01|1.0   0  53|   0     0 |           | 14  139    1   32    0
Mar 24 15:05:28 ubuntu dstat.sh[65379]: 24-03 15:05:28| 17   2  79   1   0|3330M  204M  168M 4060M|  14k   11k|  28k 3293k|2.01   191 |2325  2395 |2.69 1.84 1.01|  0   0   0|   0     0 |           | 14  140    1   32    0
Mar 24 15:05:29 ubuntu dstat.sh[65379]: 24-03 15:05:29| 23   5  70   0   0|3335M  199M  168M 4060M|6193B 1768B|  52k 1581k|3.99   148 |5900  8679 |2.69 1.84 1.01|2.0   0 2.0|   0     0 |           | 14  140    1   32    0
Mar 24 15:05:30 ubuntu dstat.sh[65379]: 24-03 15:05:30| 30  10  58   1   0|3279M  255M  168M 4060M|6558B 2490B|   0  2777k|   0  99.2 |9269    14k|2.69 1.84 1.01|1.0   0  69|   0     0 |           | 14  141    1   33    0
Mar 24 15:05:31 ubuntu dstat.sh[65379]: 24-03 15:05:31| 21   3  75   0   0|3341M  193M  168M 4060M|6974B 2367B|   0   287k|   0  16.0 |1823  1318 |2.69 1.84 1.01|1.0   0   0|   0     0 |           | 14  142    1   33    0
Mar 24 15:05:32 ubuntu dstat.sh[65379]: 24-03 15:05:32| 16   2  80   0   0|3343M  191M  168M 4060M|  14k   10k|  32k  964k|1.00   100 |2965  3743 |2.69 1.84 1.01|1.0   0   0|   0     0 |           | 14  141    1   33    1
Mar 24 15:05:33 ubuntu dstat.sh[65379]: 24-03 15:05:33| 20  10  69   0   0|3342M  192M  168M 4061M|5458B 1703B| 136k 2406k|3.01   158 |3708  3523 |2.56 1.82 1.00|2.0   0 148|   0     0 |           | 14  143    0   34    0
Mar 24 15:05:34 ubuntu dstat.sh[65379]: 24-03 15:05:34| 17   3  78   0   0|3342M  192M  168M 4061M|  11k 7265B|   0  3122k|   0   194 |2003  1862 |2.56 1.82 1.00|1.0   0 1.0|   0     0 |           | 14  144    0   34    0
Mar 24 15:05:35 ubuntu dstat.sh[65379]: 24-03 15:05:35| 24   4  71   1   0|3343M  190M  168M 4061M|  11k 7155B|  32k 1251k|2.00  99.2 |4395  5599 |2.56 1.82 1.00|1.0   0   0|   0     0 |           | 14  144    0   34    0
Mar 24 15:05:36 ubuntu dstat.sh[65379]: 24-03 15:05:36| 24   6  68   1   0|3344M  189M  168M 4061M|5005B 1243B|   0  1077k|   0   103 |5485  7254 |2.56 1.82 1.00|2.0   0   0|   0     0 |           | 14  144    0   34    0
Mar 24 15:05:37 ubuntu dstat.sh[65379]: 24-03 15:05:37| 39  17  41   1   0|3298M  234M  168M 4061M|7013B 3539B| 424k 2126k|70.1   181 |  12k   18k|2.56 1.82 1.00|2.0   0 289|   0     0 |           | 14  143    0   35    0
Mar 24 15:05:38 ubuntu dstat.sh[65379]: 24-03 15:05:38| 23   5  70   0   0|3366M  167M  168M 4061M|5019B 1632B|   0   595k|   0  41.9 |2558  2391 |2.43 1.81 1.00|2.0   0 1.0|   0     0 |           | 14  143    0   35    2
Mar 24 15:05:39 ubuntu dstat.sh[65379]: 24-03 15:05:39| 18   3  79   0   0|3301M  232M  168M 4061M|  12k 9197B|   0   613k|   0  32.0 |2221  1910 |2.43 1.81 1.00|1.0   0  12|   0     0 |           | 14  143    0   35    2
Mar 24 15:05:40 ubuntu dstat.sh[65379]: 24-03 15:05:40|  8  20  69   0   0|3305M  228M  168M 4062M|4593B 1457B|   0   464k|   0  29.0 |5489  4048 |2.43 1.81 1.00|2.0   0 324|   0     0 |           | 14  143    0   35    2
Mar 24 15:05:41 ubuntu dstat.sh[65379]: 24-03 15:05:41| 10  21  67   0   0|3297M  235M  168M 4062M|4700B 1617B|   0  2029k|   0   124 |5592  4293 |2.43 1.81 1.00|2.0   0 294|   0     0 |           | 14  143    0   35    2
Mar 24 15:05:42 ubuntu dstat.sh[65379]: 24-03 15:05:42| 23  17  59   0   0|3321M  211M  168M 4062M|4167B 1573B|4105B 3580k|1.00   334 |6018  8273 |2.43 1.81 1.00|4.0   0 216|   0     0 |           | 14  143    0   35    2
Mar 24 15:05:43 ubuntu dstat.sh[65379]: 24-03 15:05:43| 30  23  45   0   0|3391M  142M  168M 4062M|5208B 1616B|  16k   84k|1.00  7.98 |5994  4439 |2.48 1.83 1.02|2.0   0 374|   0     0 |           | 14  143    0   35    2
Mar 24 15:05:44 ubuntu dstat.sh[65379]: 24-03 15:05:44| 23  25  51   0   0|3418M  114M  168M 4062M|4624B 1621B|   0   841k|   0  63.1 |7784  8687 |2.48 1.83 1.02|1.0   0 369|   0     0 |           | 14  149    0   35    2
Mar 24 15:05:45 ubuntu dstat.sh[65379]: 24-03 15:05:45| 35  20  45   0   0|3487M  175M  168M 3935M|5711B 1460B|  20k  997k|4.01  40.1 |7941    13k|2.48 1.83 1.02|3.0   0 188|   0     0 |           | 16  155    0   35    2
Mar 24 15:05:46 ubuntu dstat.sh[65379]: 24-03 15:05:46| 49  29  21   0   0|3595M  157M  168M 3846M|4834B 1611B|  95k  207k|4.97  9.95 |6120  4891 |2.48 1.83 1.02|3.0   0 420|   0     0 |           | 16  155    0   35    2
Mar 24 15:05:47 ubuntu dstat.sh[65379]: 24-03 15:05:47| 53  23  22   0   0|3678M  126M  168M 3795M|4919B 1620B|  28k  952k|4.00  67.0 |7991    13k|2.48 1.83 1.02|1.0   0 379|   0     0 |           | 16  171    0   35    2
Mar 24 15:05:48 ubuntu dstat.sh[65379]: 24-03 15:05:48| 25  21  54   0   0|3724M  123M  168M 3751M|4343B 1719B|   0   350k|   0  4.02 |6526  7486 |2.36 1.81 1.01|2.0   0 389|   0     0 |           | 16  173    0   35    2
Mar 24 15:05:49 ubuntu dstat.sh[65379]: 24-03 15:05:49| 35  24  40   0   0|3783M  116M  168M 3701M|5021B 1614B|  12k  323k|2.99  18.9 |6653  5058 |2.36 1.81 1.01|2.0   0 447|   0     0 |           | 16  173    0   35    2
Mar 24 15:05:50 ubuntu dstat.sh[65379]: 24-03 15:05:50| 13  22  64   0   0|3786M  167M  168M 3649M|5017B 1697B|  12k 2205k|3.01  35.1 |5706  4543 |2.36 1.81 1.01|1.0   0 342|   0     0 |           | 17  173    0   35    2
Mar 24 15:05:51 ubuntu dstat.sh[65379]: 24-03 15:05:51| 24  17  58   0   0|3811M  141M  168M 3649M|4395B 1457B|   0   164k|   0  9.99 |6705  8528 |2.36 1.81 1.01|3.0   0 233|   0     0 |           | 17  173    0   35    2
Mar 24 15:05:52 ubuntu dstat.sh[65379]: 24-03 15:05:52| 29  24  45   0   0|3862M  140M  168M 3600M|4552B 1617B|4089B   88k|1.00  8.99 |6041  4717 |2.36 1.81 1.01|2.0   0 385|   0     0 |           | 17  173    0   35    2
Mar 24 15:05:53 ubuntu dstat.sh[65379]: 24-03 15:05:53| 38  21  40   0   0|3955M  138M  168M 3512M|5553B 1621B| 136k  629k|3.00  33.0 |7622    13k|2.49 1.85 1.03|1.0   0 277|   0     0 |           | 17  187    0   35    0
Mar 24 15:05:54 ubuntu dstat.sh[65379]: 24-03 15:05:54| 27  26  46   0   0|4015M  125M  168M 3466M|4609B 1459B|  40k  420k|4.00  38.0 |6324  5525 |2.49 1.85 1.03|3.0   0 429|   0     0 |           | 17  193    0   35    0
Mar 24 15:05:55 ubuntu dstat.sh[65379]: 24-03 15:05:55| 30  29  40   0   0|4089M  134M  168M 3384M|5099B 1458B|  40k 1108k|7.00  77.0 |7813  9511 |2.49 1.85 1.03|4.0   0 510|   0     0 |           | 17  199    0   33    0
Mar 24 15:05:56 ubuntu dstat.sh[65379]: 24-03 15:05:56|  9  20  68   0   0|4100M  151M  168M 3357M|4764B 1619B|4094B  472k|1.00  21.0 |6272  5810 |2.49 1.85 1.03|1.0   0 322|   0     0 |           | 17  199    0   33    0
