Jun 14 13:07:29 jammy-provider-cloud-0000007219 systemd[1]: Started Devstack devstack@dstat.service.
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 13:08:59 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:59| 23   3  74   0   0|1428M 1435M  162M 4728M|4238B 1456B|   0     0 |   0     0 | 946  1164 |2.35 1.29 0.64|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   63    0
Jun 14 13:09:00 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:00| 24   2  74   0   0|1373M 1489M  162M 4728M|6282B 1570B|   0  1692k|   0   176 | 976  1156 |2.35 1.29 0.64|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   63    0
Jun 14 13:09:01 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:01| 24   1  74   0   0|1430M 1432M  162M 4728M|4934B 1509B|   0    36k|   0  1.00 | 951  1142 |2.35 1.29 0.64|1.0 1.0 2.0|   0     0 |   0     0 | 10   32    4   63    0
Jun 14 13:09:02 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:02| 23   3  73   0   0|1330M 1532M  162M 4729M|8386B 1694B|   0   640k|   0  36.0 |1088  1607 |2.24 1.28 0.64|2.0   0 2.0|   0     0 |   0     0 | 10   32    4   63    0
Jun 14 13:09:03 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:03| 22   4  74   0   0|1407M 1456M  162M 4729M|4705B 1459B|   0     0 |   0     0 | 934  1149 |2.24 1.28 0.64|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   61    0
Jun 14 13:09:04 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:04| 23   4  74   0   0|1356M 1507M  162M 4729M|4805B 1620B|   0  8194B|   0  2.00 | 912  1119 |2.24 1.28 0.64|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   61    0
Jun 14 13:09:05 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:05| 23   3  74   0   0|1372M 1490M  162M 4729M|5602B 1621B|   0  8195B|   0  1.00 | 967  1214 |2.24 1.28 0.64|2.0   0 3.0|   0     0 |   0     0 | 10   32    4   61    0
Jun 14 13:09:06 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:06| 23   3  74   0   0|1426M 1437M  162M 4729M|  15k 1531B|   0     0 |   0     0 | 946  1133 |2.24 1.28 0.64|2.0   0 2.0|   0     0 |   0     0 | 10   32    4   61    0
Jun 14 13:09:07 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:07| 15  19  65   0   0|1326M 1536M  162M 4729M|4870B 1621B|   0   552k|   0  6.00 |3309  5607 |2.22 1.30 0.65|2.0   0 464|   0     0 |   0     0 | 10   32    4   59    0
Jun 14 13:09:08 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:08| 10  19  70   0   0|1327M 1535M  162M 4729M|6419B 1243B|   0   693k|   0  11.0 |2976  4858 |2.22 1.30 0.65|1.0   0 450|   0     0 |   0     0 | 10   32    4   59    0
Jun 14 13:09:09 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:09|  9  20  70   0   0|1328M 1534M  162M 4729M|4892B 1295B|   0    92k|   0  1.00 |2999  4678 |2.22 1.30 0.65|1.0   0 440|   0     0 |   0     0 | 10   32    4   57    0
Jun 14 13:09:10 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:10| 21   4  74   0   0|1400M 1462M  162M 4729M|5045B 1584B|   0  4090B|   0  1.00 | 924  1336 |2.22 1.30 0.65|1.0   0  21|   0     0 |   0     0 | 10   32    4   57    0
Jun 14 13:09:11 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:11| 23   2  74   0   0|1334M 1528M  162M 4729M|4604B 1608B|   0   360k|   0  5.00 | 941  1116 |2.22 1.30 0.65|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   53    0
Jun 14 13:09:12 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:12| 22   4  74   0   0|1405M 1457M  162M 4729M|  42k 1512B|   0   484k|   0  34.0 |1296  1720 |2.13 1.29 0.65|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   53    0
Jun 14 13:09:13 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:13| 23   3  74   0   0|1358M 1504M  162M 4729M|6560B 1566B|   0    20k|   0  1.00 | 939  1121 |2.13 1.29 0.65|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   51    0
Jun 14 13:09:14 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:14| 23   2  74   0   0|1422M 1440M  162M 4729M|6516B 1512B|   0     0 |   0     0 | 963  1195 |2.13 1.29 0.65|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   51    0
Jun 14 13:09:15 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:15| 23   4  73   0   0|1377M 1485M  162M 4729M|5401B 1567B|   0    16k|   0  1.00 | 971  1194 |2.13 1.29 0.65|1.0   0 3.0|   0     0 |   0     0 | 10   32    4   44    0
Jun 14 13:09:16 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:16| 23   3  74   0   0|1423M 1439M  162M 4729M|6480B 1511B|   0    16k|   0  2.00 | 879  1155 |2.13 1.29 0.65|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   44    0
Jun 14 13:09:17 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:17| 22   3  74   0   0|1395M 1467M  162M 4729M|6584B 1569B|   0    60k|   0  3.01 | 875  1167 |2.04 1.29 0.65|1.0   0 3.0|   0     0 |   0     0 | 10   32    4   43    0
Jun 14 13:09:18 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:18| 23   2  74   0   0|1336M 1526M  162M 4729M|6145B 1660B|   0    20k|   0  1.00 | 868  1112 |2.04 1.29 0.65|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   43    0
Jun 14 13:09:19 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:19| 24   2  74   0   0|1408M 1454M  162M 4729M|6048B 1694B|   0     0 |   0     0 | 948  1202 |2.04 1.29 0.65|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   43    0
Jun 14 13:09:20 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:20| 23   2  74   0   0|1363M 1499M  162M 4729M|8467B 1511B|   0    12k|   0  1.00 | 964  1163 |2.04 1.29 0.65|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   43    0
Jun 14 13:09:21 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:21| 22   4  73   0   0|1424M 1438M  162M 4729M|5853B 1619B|   0  1671k|   0  5.00 | 994  1205 |2.04 1.29 0.65|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   41    0
Jun 14 13:09:22 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:22| 23   3  73   0   0|1375M 1487M  162M 4729M|5204B 1695B|   0   464k|   0  36.0 |1133  1655 |1.95 1.28 0.65|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   41    0
Jun 14 13:09:23 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:23| 23   3  74   0   0|1318M 1543M  162M 4729M|4910B 1623B|   0   761k|   0   129 | 938  1130 |1.95 1.28 0.65|2.0   0 3.0|   0     0 |   0     0 | 10   32    4   41    0
Jun 14 13:09:24 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:24| 23   2  74   0   0|1340M 1522M  162M 4729M|5341B 1662B|   0    12k|   0  1.00 | 949  1159 |1.95 1.28 0.65|3.0   0 1.0|   0     0 |   0     0 | 10   32    4   41    0
Jun 14 13:09:25 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:25| 22   4  74   0   0|1411M 1450M  162M 4729M|7372B 1566B|   0     0 |   0     0 | 977  1247 |1.95 1.28 0.65|2.0   0 4.0|   0     0 |   0     0 | 10   32    4   39    0
Jun 14 13:09:26 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:26| 24   2  74   0   0|1361M 1501M  162M 4729M|5443B  828B|   0    20k|   0  1.00 | 882  1093 |1.95 1.28 0.65|2.0   0 1.0|   0     0 |   0     0 | 10   32    4   39    0
Jun 14 13:09:27 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:27| 23   3  74   0   0|1379M 1483M  162M 4729M|6078B  595B|   0    76k|   0  2.00 | 920  1148 |1.88 1.28 0.66|2.0 1.0 1.0|   0     0 |   0     0 | 10   32    4   31    0
Jun 14 13:09:28 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:28| 24   2  74   0   0|1420M 1441M  162M 4729M|6751B 1185B|   0    20k|   0  2.99 | 908  1130 |1.88 1.28 0.66|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   31    0
Jun 14 13:09:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:29| 16  13  71   0   0|1356M 1506M  162M 4729M|4832B 1512B|   0   100k|   0  9.00 |2618  4179 |1.88 1.28 0.66|1.0   0 392|   0     0 |   0     0 | 10   32    4   26    0
Jun 14 13:09:30 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:30| 23   2  74   0   0|1419M 1443M  162M 4729M|4832B 1566B|   0     0 |   0     0 | 905  1165 |1.88 1.28 0.66|1.0   0   0|   0     0 |   0     0 | 10   32    4   26    0
Jun 14 13:09:31 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:31| 22   3  74   0   0|1397M 1465M  162M 4729M|4486B 1461B|   0    20k|   0  1.00 | 937  1164 |1.88 1.28 0.66|1.0   0 9.0|   0     0 |   0     0 | 10   32    4   24    0
Jun 14 13:09:32 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:32| 19   9  70   0   0|1328M 1533M  162M 4729M|5209B 1619B|   0   564k|   0  34.0 |2339  3892 |1.81 1.27 0.66|1.0   0 281|   0     0 |   0     0 | 10   32    4   24    0
Jun 14 13:09:33 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:33|  9  22  70   0   0|1329M 1533M  162M 4729M|5572B 1512B|   0   328k|   0  8.00 |3460  5894 |1.81 1.27 0.66|1.0   0 602|   0     0 |   0     0 | 10   32    4   24    0
Jun 14 13:09:34 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:34|  9  22  69   0   0|1329M 1533M  162M 4729M|6373B 1566B|   0  1036k|   0  17.0 |3747  6357 |1.81 1.27 0.66|1.0   0 676|   0     0 |   0     0 | 10   32    4   23    0
Jun 14 13:09:35 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:35|  9  22  69   0   0|1328M 1533M  162M 4730M|8336B 1511B|   0  1387k|   0  16.0 |3311  5338 |1.81 1.27 0.66|1.0   0 547|   0     0 |   0     0 | 10   32    4   23    0
Jun 14 13:09:36 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:36| 11  19  70   0   0|1326M 1535M  162M 4730M|7341B 1640B|   0  1352k|   0  74.0 |3124  4915 |1.81 1.27 0.66|1.0   0 490|   0     0 |   0     0 | 10   32    4   23    0
Jun 14 13:09:37 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:37|  9  19  71   0   0|1326M 1535M  162M 4730M|3887B 1263B|   0   252k|   0  8.01 |2888  4609 |1.74 1.27 0.66|1.0   0 414|   0     0 |   0     0 | 10   32    4   23    0
Jun 14 13:09:38 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:38| 11  22  66   0   0|1331M 1530M  162M 4730M|4565B  972B|   0   468k|   0  21.0 |3496  5872 |1.74 1.27 0.66|4.0   0 592|   0     0 |   0     0 | 10   32    4   19    0
Jun 14 13:09:39 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:39| 53  19  27   0   0|1487M 1374M  162M 4730M|5141B 1574B|   0  1052k|   0  62.0 |3468  5815 |1.74 1.27 0.66|3.0   0 526|   0     0 |   0     0 | 10   32    4   23    0
Jun 14 13:09:40 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:40| 60  10  25   5   0|1611M 1242M  162M 4736M|5342B 1621B| 412k   20M|5.00  1509 |6697    14k|1.74 1.27 0.66|3.0   0  56|   0     0 |   0     0 | 10   38    4   21    0
Jun 14 13:09:41 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:41| 41  11  34  12   0|1595M 1244M  164M 4748M|3910B 1025B|   0    99M|   0  7573 |  22k   50k|1.74 1.27 0.66|3.0 1.0 184|   0     0 |   0     0 | 10   36    4   22    0
Jun 14 13:09:42 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:42| 47  11  32  11   0|1567M 1261M  164M 4759M|  41k 1404B|   0    73M|   0  5940 |  19k   44k|2.32 1.39 0.70|2.0 1.0 136|   0     0 |   0     0 | 10   36    4   21    0
Jun 14 13:09:43 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:43| 45  14  28  11   0|1536M 1281M  165M 4769M|4787B 1580B| 255k   73M|1.99  5725 |  16k   40k|2.32 1.39 0.70|5.0   0 238|   0     0 |   0     0 | 10   34    4   21    0
Jun 14 13:09:44 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:44| 44  16  31   8   0|1548M 1262M  165M 4775M|7017B 1783B| 622k   47M|9.03  4000 |  17k   44k|2.32 1.39 0.70|5.0   0 160|   0     0 |   0     0 | 10   35    5   22    0
Jun 14 13:09:45 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:45| 42  12  40   5   0|1530M 1275M  166M 4779M|8021B 1587B|1101k   46M|19.0  3807 |  14k   32k|2.32 1.39 0.70|1.0 1.0 197|   0     0 |   0     0 | 10   34    5   23    0
Jun 14 13:09:46 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:46| 39   9  44   8   0|1546M 1258M  166M 4780M|5693B 1512B|   0    52M|   0  4362 |  16k   36k|2.32 1.39 0.70|6.0   0  38|   0     0 |   0     0 | 10   35    5   16    0
Jun 14 13:09:47 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:47| 36  10  44   8   0|1514M 1288M  166M 4781M|7605B 1532B|   0    49M|   0  4162 |  15k   34k|2.30 1.40 0.71|2.0 1.0  90|   0     0 |   0     0 | 10   34    5   18    0
Jun 14 13:09:48 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:48| 41   8  43   6   0|1540M 1259M  167M 4784M|5388B 1455B|   0    30M|   0  3298 |  13k   30k|2.30 1.40 0.71|3.0   0  45|   0     0 |   0     0 | 10   35    5   16    0
Jun 14 13:09:49 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:49| 36   8  46   8   0|1497M 1299M  167M 4787M|8189B 1543B|   0    46M|   0  4099 |  14k   33k|2.30 1.40 0.71|4.0   0  66|   0     0 |   0     0 | 10   34    5   18    0
Jun 14 13:09:50 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:50| 35   9  43  11   0|1537M 1254M  167M 4791M|4657B 1080B|   0    51M|   0  4292 |  15k   33k|2.30 1.40 0.71|2.0   0  51|   0     0 |   0     0 | 10   35    5   18    0
Jun 14 13:09:51 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:51| 39   8  44   9   0|1478M 1310M  167M 4794M|7345B 1736B|   0    47M|   0  4167 |  17k   39k|2.30 1.40 0.71|1.0 1.0 101|   0     0 |   0     0 | 10   36    5   20    0
Jun 14 13:09:52 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:52| 37   9  43   9   0|1543M 1245M  168M 4793M|5555B 1693B|   0    39M|   0  3704 |  14k   32k|2.27 1.41 0.72|2.0 1.0  56|   0     0 |   0     0 | 10   36    5   20    0
Jun 14 13:09:53 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:53| 39   8  43   8   0|1516M 1275M  168M 4790M|5208B 1618B|   0    44M|   0  3916 |  12k   31k|2.27 1.41 0.72|2.0   0  52|   0     0 |   0     0 | 10   34    5   23    0
Jun 14 13:09:54 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:54| 27  15  58   0   0|1374M 1417M  168M 4791M|5466B 1644B|   0  1916k|   0   116 |3106  4938 |2.27 1.41 0.72|2.0   0 273|   0     0 |   0     0 | 10   32    5   23    0
Jun 14 13:09:55 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:55| 22   3  73   0   0|1423M 1368M  168M 4791M|6749B 1566B|   0   484k|   0  25.0 |1314  2420 |2.27 1.41 0.72|2.0   0 2.0|   0     0 |   0     0 | 10   33    5   23    0
Jun 14 13:09:56 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:56| 22   5  72   0   0|1407M 1384M  168M 4791M|6549B 1512B|   0   440k|   0  28.0 |1702  2871 |2.27 1.41 0.72|1.0   0  43|   0     0 |   0     0 | 10   32    5   23    0
Jun 14 13:09:57 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:57| 22   3  73   0   0|1367M 1424M  168M 4791M|5586B 1131B|   0   567k|   0  41.9 |2191  4010 |2.09 1.39 0.72|1.0   0  28|   0     0 |   0     0 | 10   32    5   23    0
Jun 14 13:09:58 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:58|  9  21  68   0   0|1365M 1425M  168M 4791M|4450B 1588B|   0   721k|   0  43.1 |2512  3510 |2.09 1.39 0.72|1.0   0 330|   0     0 |   0     0 | 10   32    5   23    0
Jun 14 13:09:59 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:09:59| 19  21  57   0   0|1390M 1401M  168M 4791M|5660B 1554B|   0  3836k|   0   219 |3528  5680 |2.09 1.39 0.72|3.0   0 439|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:00 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:00| 69   8  24   0   0|1579M 1210M  168M 4792M|5824B 1660B|   0   308k|   0  11.0 |1474  1492 |2.09 1.39 0.72|4.0   0 3.0|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:01 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:01| 69   7  24   0   0|1744M 1042M  168M 4795M|4567B 1502B|   0  4513k|   0   228 |1860  2229 |2.09 1.39 0.72|3.0   0   0|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:02 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:02| 33   9  43  13   0|1745M 1026M  168M 4809M|7215B 1523B|   0    88M|   0  6735 |  21k   47k|2.32 1.45 0.74|1.0 1.0 251|   0     0 |   0     0 | 10   38    5   29    0
Jun 14 13:10:03 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:03| 44   9  35  10   0|1746M 1012M  168M 4821M|4386B 1512B|   0    90M|   0  7448 |  25k   56k|2.32 1.45 0.74|3.0 1.0 189|   0     0 |   0     0 | 10   38    5   29    0
Jun 14 13:10:04 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:04| 45  10  30  12   0|1663M 1084M  169M 4832M|5291B 1564B|   0    78M|   0  6534 |  18k   41k|2.32 1.45 0.74|2.0   0 265|   0     0 |   0     0 | 10   36    5   29    0
Jun 14 13:10:05 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:05| 50   9  28  11   0|1724M 1011M  169M 4843M|9870B 1461B|   0    81M|   0  5904 |  16k   39k|2.32 1.45 0.74|5.0   0  74|   0     0 |   0     0 | 10   36    5   29    0
Jun 14 13:10:06 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:06| 41  11  31  13   0|1632M 1091M  169M 4854M|5537B 1585B|   0    98M|   0  7120 |  18k   48k|2.32 1.45 0.74|3.0   0 102|   0     0 |   0     0 | 10   36    5   29    0
Jun 14 13:10:07 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:07| 36  15  45   2   0|1374M 1347M  169M 4857M|4792B 1533B|   0    21M|   0  1438 |5525    15k|2.14 1.43 0.73|1.0   0 298|   0     0 |   0     0 | 10   32    5   30    0
Jun 14 13:10:08 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:08| 23   3  74   0   0|1441M 1280M  169M 4857M|5147B 1456B|   0  1254k|   0  69.9 |1084  1542 |2.14 1.43 0.73|2.0   0 1.0|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:09 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:09| 25   2  73   0   0|1490M 1231M  169M 4857M|4386B 1568B|   0  4553k|   0   277 |1477  2422 |2.14 1.43 0.73|2.0   0   0|   0     0 |   0     0 | 10   36    5   29    0
Jun 14 13:10:10 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:10| 23   4  73   0   0|1402M 1319M  169M 4857M|4034B 1564B|   0   160k|   0  13.0 |1266  1764 |2.14 1.43 0.73|2.0   0  27|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:11 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:11| 22   4  74   0   0|1471M 1250M  169M 4857M|5374B 1608B|   0    32k|   0  4.00 | 950  1164 |2.14 1.43 0.73|2.0   0 1.0|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:12 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:12| 20   7  71   0   0|1377M 1344M  169M 4857M|  44k 1624B|   0  4354k|   0  91.2 |1622  2317 |2.13 1.44 0.74|2.0   0  94|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:13 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:13| 14  36  48   0   0|1379M 1342M  169M 4857M|4612B 1565B|   0   184k|   0  22.0 |5051  8761 |2.13 1.44 0.74|2.0   0 1.1|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:14 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:14| 11  20  68   0   0|1382M 1339M  169M 4857M|4767B 1513B|   0   524k|   0  33.0 |2478  3397 |2.13 1.44 0.74|1.0   0 323|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:15 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:15|  9  21  69   0   0|1378M 1343M  169M 4857M|5078B 1565B|   0    16k|   0  4.00 |2462  3438 |2.13 1.44 0.74|1.0   0 304|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:16 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:16| 10  18  71   0   0|1381M 1340M  169M 4857M|4222B 1585B|   0    12k|   0  3.00 |2420  3491 |2.13 1.44 0.74|1.0   0 275|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:17 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:17| 10  19  69   0   0|1382M 1339M  169M 4857M|4266B 1505B|   0    56k|   0  9.96 |2593  4100 |1.96 1.41 0.74|3.0   0 306|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:18 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:18| 21  16  63   0   0|1394M 1327M  169M 4857M|5322B 1616B|   0  8233B|   0  2.01 |5057    11k|1.96 1.41 0.74|3.0   0 171|   0     0 |   0     0 | 10   32    5   29    0
Jun 14 13:10:19 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:19| 47   6  45   0   0|1507M 1213M  169M 4857M|5738B 1456B|   0   200k|   0  1.00 |1563  1891 |1.96 1.41 0.74|3.0 1.0  93|   0     0 |   0     0 | 10   33    5   29    0
Jun 14 13:10:20 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:20| 48   6  46   0   0|1578M 1141M  169M 4860M|8511B  974B|  84k  212k|1.00  13.0 |4577    11k|1.96 1.41 0.74|2.0   0 4.0|   0     0 |   0     0 | 10   47    5   29    0
Jun 14 13:10:21 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:21| 39   8  52   0   0|1626M 1091M  169M 4861M|4002B 1078B|   0   443k|   0  19.0 |1685  2255 |1.96 1.41 0.74|2.0   0  62|   0     0 |   0     0 | 10   48    5   30    0
Jun 14 13:10:22 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:22| 13  15  71   1   0|1646M 1071M  169M 4861M|7692B 1424B|   0   356k|   0  27.0 |2231  3219 |1.88 1.41 0.74|1.0   0 196|   0     0 |   0     0 | 10   48    5   30    0
Jun 14 13:10:23 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:23|  5   1  93   0   0|1651M 1066M  169M 4861M|  21k 2289B|   0   232k|   0  14.0 | 704  1051 |1.88 1.41 0.74|  0   0 2.0|   0     0 |   0     0 | 10   49    5   30    0
Jun 14 13:10:24 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:24|  1   0  98   0   0|1652M 1065M  169M 4861M| 104k 4389B|   0  5668k|   0   228 | 917  1170 |1.88 1.41 0.74|  0   0   0|   0     0 |   0     0 | 10   49    5   30    0
Jun 14 13:10:25 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:25|  8   3  87   0   0|1665M 1051M  169M 4861M|  67k 2971B|   0   892k|   0  53.0 |1172  1686 |1.88 1.41 0.74|1.0   0  27|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:26 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:26| 17  10  71   2   0|1674M  994M  169M 4908M|6804B 1637B|4090B 8215k|1.00   384 |2717  4281 |1.88 1.41 0.74|1.0   0  66|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:27 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:27| 16  10  73   0   0|1683M  984M  169M 4908M|6225B 1568B|  64k    0 |4.00     0 |1629  1879 |1.81 1.40 0.74|2.0   0  50|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:28 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:28| 17   9  73   0   0|1689M  978M  169M 4908M|5294B 1722B|   0  4092B|   0  1.00 |1364  1538 |1.81 1.40 0.74|1.0   0  49|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:29| 22   4  74   0   0|1707M  960M  169M 4908M|5276B 1024B|   0     0 |   0     0 |1007  1192 |1.81 1.40 0.74|1.0   0  13|   0     0 |   0     0 | 10   48    5   31    0
Jun 14 13:10:30 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:10:30| 14  12  73   0   0|1641M 1073M  169M 4862M|5622B 1462B| 297k   20k|14.0  3.01 |1780  2352 |1.81 1.40 0.74|1.0   0 132|   0     0 |   0     0 | 10   48    5   31    0
