Dec 30 07:31:40 jammy-provider-cloud-0000007872 systemd[1]: Started Devstack devstack@dstat.service.
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 30 07:35:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:36| 21   7  73   0   0|2568M  140M  170M 4859M|5774B 1622B|   0   272k|   0  15.0 |1490  2074 |1.85 1.64 0.89|2.0   0  57|   0     0 |   0     0 | 14  110    0   39    0
Dec 30 07:35:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:37| 23   5  69   1   0|2589M  127M  169M 4851M|4618B 1702B|  20k 3743k|1.00   466 |3269  5844 |1.78 1.63 0.89|7.0   0 1.0|   0     0 |   0     0 | 14  113    0   39    0
Dec 30 07:35:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:38| 23   7  68   1   0|2568M  155M  169M 4844M|  11k 1464B|   0  1189k|   0   135 |2964  5171 |1.78 1.63 0.89|1.0   0  55|   0     0 |   0     0 | 14  115    0   41    0
Dec 30 07:35:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:39| 24   3  73   0   0|2607M  124M  169M 4836M|4836B 1620B|   0   808k|   0  50.0 |1558  2414 |1.78 1.63 0.89|1.0   0 2.0|   0     0 |   0     0 | 14  117    0   41    0
Dec 30 07:35:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:40| 32   4  62   1   0|2566M  177M  169M 4825M|6180B 1624B| 766k 1295k| 122   157 |3487  6906 |1.78 1.63 0.89|2.0   0  16|   0     0 |   0     0 | 14  117    0   41    0
Dec 30 07:35:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:41| 24   5  69   0   0|2617M  125M  169M 4825M|5547B 1615B|  48k 5432k|4.98   343 |2360  4226 |1.78 1.63 0.89|1.0   0  57|   0     0 |   0     0 | 14  117    0   41    0
Dec 30 07:35:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:42| 18  11  69   0   0|2582M  160M  169M 4825M|8044B 1658B|   0   830k|   0   105 |2893  4957 |1.72 1.62 0.89|3.0   0 147|   0     0 |   0     0 | 14  117    0   42    0
Dec 30 07:35:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:43| 24   4  72   0   0|2632M  126M  169M 4810M|5147B 1619B|   0   575k|   0  32.0 |1359  1900 |1.72 1.62 0.89|2.0   0 2.0|   0     0 |   0     0 | 14  119    0   42    0
Dec 30 07:35:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:44| 26   3  70   1   0|2635M  123M  169M 4810M|7392B 1627B|   0   944k|   0   104 |3063  5499 |1.72 1.62 0.89|1.0   0   0|   0     0 |   0     0 | 14  119    0   42    0
Dec 30 07:35:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:45| 36  12  51   0   0|2596M  160M  169M 4812M|5834B 1462B|1617k 1107k|38.1  91.3 |3958  8183 |1.72 1.62 0.89|3.0   0 217|   0     0 |   0     0 | 14  119    0   42    0
Dec 30 07:35:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:46| 33   7  59   0   0|2650M  128M  169M 4789M|8008B 1875B|1480k  788k|30.8  68.6 |2283  4310 |1.72 1.62 0.89|2.0   0  76|   0     0 |   0     0 | 14  120    0   42    0
Dec 30 07:35:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:47| 14  14  71   0   0|2598M  181M  169M 4789M|7791B 1895B|  36k  469k|1.00  28.1 |2229  3267 |1.66 1.61 0.90|5.0   0 186|   0     0 |   0     0 | 14  119    0   43    0
Dec 30 07:35:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:48| 11  19  68   1   0|2599M  180M  169M 4790M|5349B 1713B|  20k  585k|4.01  50.1 |2971  4707 |1.66 1.61 0.90|2.0   0 313|   0     0 |   0     0 | 14  119    0   43    0
Dec 30 07:35:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:49| 16  17  65   0   0|2607M  171M  169M 4791M|5134B 1617B| 523k  483k|21.0  32.0 |4502  8391 |1.66 1.61 0.90|1.0   0 201|   0     0 |   0     0 | 14  119    0   43    0
Dec 30 07:35:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:50| 29  23  48   0   0|2661M  122M  169M 4785M|5855B 1625B| 104k 4256k|3.01   364 |3801  7489 |1.66 1.61 0.90|6.0   0 381|   0     0 |   0     0 | 14  119    0   43    0
Dec 30 07:35:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:51| 34  26  40   0   0|2733M  132M  168M 4705M|6221B 1670B| 281k 5115k|33.6   441 |4746    11k|1.66 1.61 0.90| 20 1.0 397|   0     0 |   0     0 | 14  130    0   43    0
Dec 30 07:35:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:52| 38  22  38   0   0|2804M  123M  168M 4645M|5924B 1562B|1307k 4327k|75.9   340 |5306    15k|1.77 1.64 0.91|3.0   0 310|   0     0 |   0     0 | 16  131    0   44    0
Dec 30 07:35:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:53| 55  24  21   0   0|2905M  119M  168M 4550M|6199B 1714B|2424k  160k| 138  12.0 |3386  5763 |1.77 1.64 0.91|3.0   0 521|   0     0 |   0     0 | 16  131    0   43    0
Dec 30 07:35:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:54| 50  19  29   1   0|2980M  122M  168M 4473M|  41k 1617B|3993k 7555k| 194   666 |7597    22k|1.77 1.64 0.91|2.0   0 226|   0     0 |   0     0 | 16  147    0   43    0
Dec 30 07:35:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:55| 38  20  42   0   0|3038M  130M  168M 4409M|6224B 1621B|8196B  528k|1.00  61.0 |3366  5631 |1.77 1.64 0.91|3.0   0 426|   0     0 |   0     0 | 16  147    0   43    0
Dec 30 07:35:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:56| 18  19  61   0   0|3063M  129M  168M 4386M|7958B 1613B|8154B  223k|1.99  8.96 |2885  5257 |1.77 1.64 0.91|2.0   0 333|   0     0 |   0     0 | 17  147    0   43    0
Dec 30 07:35:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:57| 15  18  65   0   0|3065M  128M  168M 4385M|5940B 1738B| 157k  430k|4.02  41.2 |3628  5676 |1.71 1.63 0.91|2.0   0 246|   0     0 |   0     0 | 17  149    0   43    0
Dec 30 07:35:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:58| 28  19  53   0   0|3109M  125M  168M 4345M|8952B 1457B|   0   639k|   0  55.9 |4453  7437 |1.71 1.63 0.91|4.0   0 288|   0     0 |   0     0 | 17  149    0   43    0
Dec 30 07:35:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:35:59| 31  22  45   0   0|3164M  134M  168M 4283M|5976B 1690B|   0    32k|   0  8.00 |3154  5544 |1.71 1.63 0.91|2.0   0 394|   0     0 |   0     0 | 17  153    0   43    0
Dec 30 07:36:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:00| 35  21  43   0   0|3256M  122M  168M 4204M|6145B 1622B| 172k  340k|6.01  16.0 |6998    17k|1.71 1.63 0.91|5.0   0 264|   0     0 |   0     0 | 17  161    0   43    0
Dec 30 07:36:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:01| 30  25  45   0   0|3316M  130M  168M 4136M|5259B 1621B| 112k  456k|6.00  37.0 |3510  6056 |1.71 1.63 0.91|4.0   0 485|   0     0 |   0     0 | 17  167    0   42    0
Dec 30 07:36:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:02| 20  23  55   0   0|3382M  119M  168M 4083M|8503B 1616B|4085B 6590k|1.00   497 |5307    12k|1.81 1.65 0.92|2.0   0 443|   0     0 |   0     0 | 17  173    0   42    2
Dec 30 07:36:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:03| 10  19  67   0   0|3384M  118M  168M 4082M|5448B 1619B|4093B  228k|1.00  16.0 |2813  4347 |1.81 1.65 0.92|1.0   0 278|   0     0 |   0     0 | 17  173    0   42    2
Dec 30 07:36:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:04| 17  18  64   0   0|3394M  120M  168M 4071M|6250B 1621B|   0   192k|   0  14.0 |5178  8865 |1.81 1.65 0.92|1.0   0 206|   0     0 |   0     0 | 17  173    0   42    2
Dec 30 07:36:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:05| 39  10  51   0   0|3477M  122M  168M 3987M|6502B 1458B|  16k  396k|4.00  24.0 |2703  4020 |1.81 1.65 0.92|2.0   0 119|   0     0 |   0     0 | 17  173    0   38    2
Dec 30 07:36:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:06| 46   6  47   0   0|3584M  129M  168M 3876M|6348B 1619B|  36k  244k|3.00  17.0 |1579  2066 |1.81 1.65 0.92|3.0   0 2.0|   0     0 |   0     0 | 17  173    0   38    2
Dec 30 07:36:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:07| 35  15  51   1   0|3543M  220M  168M 3826M|5768B 1625B|1409k  393k|39.1  38.1 |2858  5004 |1.91 1.67 0.93|4.0   0 226|   0     0 |   0     0 | 17  180    0   38    2
Dec 30 07:36:08 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:08| 37  21  40   0   0|3600M  162M  168M 3827M|  11k 1730B|  44k  492k|4.00  37.0 |5357    11k|1.91 1.67 0.93|4.0   0 432|   0     0 |   0     0 | 17  192    0   38    2
Dec 30 07:36:09 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:09| 45  24  30   0   0|3622M  136M  168M 3831M|5719B 1619B|1567k  120k|39.0  12.0 |6312    12k|1.91 1.67 0.93|5.0   0 349|   0     0 |   0     0 | 17  195    0   38    2
Dec 30 07:36:10 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:10| 73  18   9   0   0|3669M  137M  168M 3785M|5485B 1622B| 349k 1262k|10.0  62.1 |4140  9270 |1.91 1.67 0.93|4.0   0 190|   0     0 |   0     0 | 17  210    0   40    2
Dec 30 07:36:11 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:11| 77  17   5   0   0|3763M  165M  168M 3666M|4860B 1458B| 516k 1232k|10.0  60.0 |3827  7354 |1.91 1.67 0.93| 10   0  56|   0     0 |   0     0 | 17  216    0   37    2
Dec 30 07:36:12 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:12| 64  22  12   0   0|3840M  128M  168M 3626M|5080B 1618B|  48k   23M|2.00   893 |7246    15k|2.07 1.71 0.95|3.0   0 236|   0     0 |   0     0 | 17  218    0   42    2
Dec 30 07:36:13 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:13| 49  27  23   0   0|3829M  136M  168M 3629M|5400B 1617B|   0   994k|   0  54.9 |5479    15k|2.07 1.71 0.95|6.0   0 457|   0     0 |   0     0 | 17  217    0   39    2
Dec 30 07:36:14 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:14| 49  24  26   0   0|3843M  127M  168M 3624M|7091B 1626B|   0   566k|   0  35.1 |7842    29k|2.07 1.71 0.95|4.0   0 358|   0     0 |   0     0 | 17  217    0   40    2
Dec 30 07:36:15 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:15| 57  21  21   0   0|3891M  138M  168M 3565M|5261B 1729B|  12k   15M|3.00   589 |4583  9705 |2.07 1.71 0.95|4.0   0 388|   0     0 |   0     0 | 17  221    0   41    2
Dec 30 07:36:16 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:16| 62  22  16   0   0|3919M  178M  168M 3498M|6908B 1620B| 224k  756k|26.0  42.0 |4917    16k|2.07 1.71 0.95|4.0   0 407|   0     0 |   0     0 | 17  225    0   44    2
Dec 30 07:36:17 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:17| 54  27  19   0   0|4035M  128M  168M 3434M|4974B 1614B|  68k  825k|3.99  56.8 |5036    14k|2.15 1.73 0.96| 11   0 322|   0     0 |   0     0 | 17  227    0   45    2
Dec 30 07:36:18 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:18| 64  16  21   0   0|4120M  119M  168M 3359M|4848B 1462B| 313k  710k|6.02  57.2 |4398    12k|2.15 1.73 0.96|4.0   0 185|   0     0 |   0     0 | 17  233    0   45    2
Dec 30 07:36:19 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:19| 69   9  21   0   0|4192M  132M  168M 3275M|6855B 1618B| 515k 9433k|20.0   749 |3975  7581 |2.15 1.73 0.96|6.0   0  12|   0     0 |   0     0 | 17  247    0   36    2
Dec 30 07:36:20 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:20| 59  20  21   1   0|4187M  187M  168M 3227M|5704B 1622B|1282k 1694k|40.0   220 |6235    15k|2.15 1.73 0.96|3.0   0 302|   0     0 |   0     0 | 17  247    0   42    2
Dec 30 07:36:21 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:21| 45  28  28   1   0|4236M  134M  168M 3231M|4900B 1622B|4329k 1865k|78.1   111 |5077    10k|2.15 1.73 0.96|3.0   0 519|   0     0 |   0     0 | 17  250    0   41    2
Dec 30 07:36:22 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:22| 59  22  17   0   0|4254M  117M  168M 3230M|4820B 1618B| 527k  483k|6.99  29.0 |5772    11k|2.30 1.77 0.98|6.0   0 207|   0     0 |   0     0 | 18  250    0   41    2
Dec 30 07:36:23 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:23| 69  12  17   0   0|4309M  120M  168M 3173M|5148B 1620B| 776k  708k|8.00  46.0 |2465  4330 |2.30 1.77 0.98|4.0   0 105|   0     0 |   0     0 | 18  253    0   43    2
Dec 30 07:36:24 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:24| 60  12  27   0   0|4368M  117M  168M 3118M|  41k 1620B| 828k 1476k|12.0  82.0 |4165    10k|2.30 1.77 0.98|5.0   0  68|   0     0 |   0     0 | 18  254    0   44    2
Dec 30 07:36:25 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:25| 23  11  65   0   0|4378M  129M  168M 3096M|6259B 2518B| 830k 9095k|10.9   791 |2606  3855 |2.30 1.77 0.98|3.0   0 166|   0     0 |   0     0 | 18  255    0   44    2
Dec 30 07:36:26 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:26| 19   7  72   0   0|4384M  137M  168M 3082M|  14k 3590B| 800k  564k|8.00  37.0 |2095  3318 |2.30 1.77 0.98|2.0   0  10|   0     0 |   0     0 | 18  258    0   42    2
Dec 30 07:36:27 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:27| 21   7  72   0   0|4402M  119M  168M 3082M|  16k 3844B| 768k 2037k|6.00   128 |2481  4247 |2.19 1.76 0.98|4.0   0 8.0|   0     0 |   0     0 | 18  261    0   42    2
Dec 30 07:36:28 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:28| 19   7  73   1   0|4403M  118M  168M 3083M| 446k 5158B| 512k  224k|4.00  24.0 |1869  2485 |2.19 1.76 0.98|2.0   0 9.0|   0     0 |   0     0 | 18  262    0   40    2
Dec 30 07:36:29 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:29| 10   8  78   0   0|4383M  155M  168M 3066M|  15M   63k| 256k  364k|2.00  33.0 |4876  3425 |2.19 1.76 0.98|2.0   0  61|   0     0 |   0     0 | 18  263    0   40    2
Dec 30 07:36:30 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:30| 14  15  69   0   0|4409M  126M  168M 3069M|8160B 1661B|2599k  732k|46.0  65.0 |2831  4723 |2.19 1.76 0.98|3.0   0 203|   0     0 |   0     0 | 18  267    0   40    2
Dec 30 07:36:31 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:31| 23   4  71   0   0|4434M  131M  168M 3039M|5205B 1468B| 226k  330k|6.04  28.2 |2096  4160 |2.19 1.76 0.98|3.0   0   0|   0     0 |   0     0 | 18  273    0   41    2
Dec 30 07:36:32 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:32| 25   5  68   0   0|4444M  138M  168M 3022M|4941B 1604B| 467k  424k|28.7  47.5 |3376  7878 |2.10 1.74 0.98|2.0   0 2.0|   0     0 |   0     0 | 18  276    0   39    2
Dec 30 07:36:33 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:33| 14  15  68   0   0|4382M  184M  168M 3038M|5068B 1633B| 202k  432k|8.07  41.3 |2881  4577 |2.10 1.74 0.98|1.0   0 226|   0     0 |   0     0 | 18  273    0   40    2
Dec 30 07:36:34 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:34| 19   9  71   0   0|4427M  138M  168M 3038M|6111B 1621B|4100B  308k|1.00  16.0 |2372  4024 |2.10 1.74 0.98|3.0   0 243|   0     0 |   0     0 | 18  273    0   38    2
Dec 30 07:36:35 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:35| 16  13  71   0   0|4394M  172M  168M 3038M|6269B 1620B|4096B  212k|1.00  13.0 |2124  3102 |2.10 1.74 0.98|1.0   0 135|   0     0 |   0     0 | 18  273    0   38    2
Dec 30 07:36:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:36| 11  18  70   0   0|4398M  168M  168M 3038M|6311B 1618B|   0  1070k|   0  66.9 |2926  4694 |2.10 1.74 0.98|3.0   0 248|   0     0 |   0     0 | 18  273    0   36    2
Dec 30 07:36:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:37| 11  19  68   0   0|4401M  165M  168M 3038M|6416B 1615B|  36k  359k|2.99  38.9 |3006  4743 |2.01 1.73 0.98|2.0   0 261|   0     0 |   0     0 | 18  277    0   36    2
Dec 30 07:36:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:38|  2   1  94   0   0|4401M  165M  168M 3038M|  11k 1551B|8179B   16M|1.00  33.9 |1266  2050 |2.01 1.73 0.98|1.0   0  18|   0     0 |   0     0 | 18  277    0   36    2
Dec 30 07:36:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:39| 23   4  72   0   0|4451M  130M  168M 3024M|7288B 1569B|   0    84k|   0  12.0 |1582  2313 |2.01 1.73 0.98|3.0   0  13|   0     0 |   0     0 | 18  281    0   36    2
Dec 30 07:36:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:40| 15  13  70   0   0|4390M  192M  168M 3022M|5936B 1628B|  44k  261k|7.04  14.1 |2542  3943 |2.01 1.73 0.98|1.0   0 147|   0     0 |   0     0 | 18  285    0   34    2
Dec 30 07:36:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:41| 14  16  69   0   0|4394M  188M  168M 3023M|5681B 1615B|  28k    0 |3.99     0 |2689  4077 |2.01 1.73 0.98|2.0   0 154|   0     0 |   0     0 | 18  285    0   34    2
Dec 30 07:36:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:42| 13  16  69   0   0|4395M  187M  168M 3023M|7092B 1623B|   0   168k|   0  12.0 |2691  3872 |1.93 1.72 0.98|1.0   0 166|   0     0 |   0     0 | 18  289    0   32    2
Dec 30 07:36:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:43| 20   9  70   0   0|4440M  141M  168M 3023M|4993B 1611B| 525k  187k|13.9  22.9 |1848  2964 |1.93 1.72 0.98|2.0   0  82|   0     0 |   0     0 | 18  291    0   32    2
Dec 30 07:36:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:44| 24   4  71   1   0|4495M  122M  168M 2988M|5923B 1623B| 293k 7760k|37.1   439 |1378  2041 |1.93 1.72 0.98|2.0   0   0|   0     0 |   0     0 | 18  291    0   32    2
Dec 30 07:36:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:45| 27   2  70   0   0|4508M  128M  168M 2969M|6508B 1517B| 128k  289k|10.0  27.1 |1686  2729 |1.93 1.72 0.98|1.0   0 2.0|   0     0 |   0     0 | 18  293    0   32    2
Dec 30 07:36:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:46| 24   4  71   1   0|4451M  185M  168M 2969M|5403B 1636B|  68k 2992k|16.0   161 |1792  2894 |1.93 1.72 0.98|7.0   0 7.0|   0     0 |   0     0 | 18  291    0   31    2
Dec 30 07:36:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:47| 26   2  70   0   0|4493M  142M  168M 2969M|7355B 1618B|4091B  180k|1.00  24.0 |1907  3049 |1.85 1.71 0.98|5.0   0 2.0|   0     0 |   0     0 | 18  297    0   31    2
Dec 30 07:36:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:48| 25   4  70   0   0|4423M  212M  168M 2969M|5108B 1622B|  28k  569k|1.00  47.1 |1769  2746 |1.85 1.71 0.98|1.0   0  17|   0     0 |   0     0 | 18  291    0   30    2
Dec 30 07:36:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:49| 25   2  72   0   0|4452M  183M  168M 2969M|5153B 1620B|   0    12M|   0  33.0 |1298  1824 |1.85 1.71 0.98|1.0   0   0|   0     0 |   0     0 | 18  291    0   30    2
Dec 30 07:36:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:50|  8  21  70   0   0|4404M  230M  168M 2970M|5455B 1619B|1403k  216k|26.0  4.00 |2745  4201 |1.85 1.71 0.98|2.0   0 235|   0     0 |   0     0 | 18  291    0   30    2
Dec 30 07:36:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:51| 10  18  69   0   0|4402M  232M  168M 2970M|8391B 1505B|4077B    0 |1.00     0 |2713  3970 |1.85 1.71 0.98|2.0   0 259|   0     0 |   0     0 | 18  291    0   30    2
Dec 30 07:36:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:52| 24  10  65   0   0|4432M  202M  168M 2971M|6908B 1621B| 776k 4097B|57.0  1.00 |2436  4809 |1.79 1.69 0.98|2.0   0 126|   0     0 |   0     0 | 18  291    0   31    2
Dec 30 07:36:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:53| 24   5  70   0   0|4451M  182M  168M 2971M|5954B 1725B| 197k  258k|10.1  12.1 |9409    19k|1.79 1.69 0.98|2.0   0  10|   0     0 |   0     0 | 18  291    0   31    2
Dec 30 07:36:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:54| 15   3  81   0   0|4436M  197M  168M 2972M|  50k 5327B|   0   824k|   0  36.0 |1364  2189 |1.79 1.69 0.98|2.0   0 3.0|   0     0 |   0     0 | 18  292    0   30    2
Dec 30 07:36:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:55| 24   5  69   0   0|4454M  178M  169M 2973M|6407B 1610B|   0   509k|   0  17.9 |8325    18k|1.79 1.69 0.98|6.0   0 6.0|   0     0 |   0     0 | 18  292    0   30    2
Dec 30 07:36:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:56| 22   7  72   0   0|4401M  230M  169M 2973M|7073B 1687B|   0   120k|   0  10.0 |1930  2962 |1.79 1.69 0.98|2.0   0  87|   0     0 |   0     0 | 18  291    0   30    2
Dec 30 07:36:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:57| 19  10  70   0   0|4433M  198M  169M 2973M|4891B 1627B|   0   362k|   0  24.1 |2420  4018 |1.80 1.70 0.98|2.0   0 187|   0     0 |   0     0 | 18  291    0   30    2
Dec 30 07:36:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:58| 22   6  71   0   0|4410M  221M  169M 2973M|5179B 1621B|  28k  304k|3.00  26.0 |2240  3681 |1.80 1.70 0.98|2.0   0 112|   0     0 |   0     0 | 18  293    0   33    2
Dec 30 07:36:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:36:59| 25   2  72   0   0|4451M  180M  169M 2973M|5729B 1618B|   0    80k|   0  3.99 |1503  2332 |1.80 1.70 0.98|1.0   0 2.0|   0     0 |   0     0 | 18  293    0   33    2
Dec 30 07:37:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:00| 23   6  72   0   0|4448M  183M  169M 2973M|7028B 1620B|   0     0 |   0     0 |1858  2828 |1.80 1.70 0.98|3.0   0  73|   0     0 |   0     0 | 18  293    0   33    2
Dec 30 07:37:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:01| 23   5  72   0   0|4434M  197M  169M 2973M|5072B 1621B|   0    84k|   0  9.01 |1895  3023 |1.80 1.70 0.98|2.0   0  58|   0     0 |   0     0 | 18  293    0   34    2
Dec 30 07:37:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:02| 24   5  71   0   0|4423M  208M  169M 2973M|7207B 1570B|  80k   88k|5.01  7.02 |2032  3156 |1.74 1.69 0.99|1.0   0  34|   0     0 |   0     0 | 18  293    0   36    1
Dec 30 07:37:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:03| 26   4  68   0   0|4403M  228M  169M 2973M|5238B 1506B|  16k  363k|1.00  50.8 |2251  3723 |1.74 1.69 0.99|4.0   0  17|   0     0 |   0     0 | 18  293    0   36    1
Dec 30 07:37:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:04| 23   5  73   0   0|4457M  174M  169M 2973M|8079B 1621B|   0   152k|   0  9.00 |1589  2410 |1.74 1.69 0.99|2.0   0  32|   0     0 |   0     0 | 18  293    0   36    1
Dec 30 07:37:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:05| 24   4  72   0   0|4444M  187M  169M 2973M|6798B 1613B|   0   147k|   0  8.96 |1777  2787 |1.74 1.69 0.99|3.0   0  34|   0     0 |   0     0 | 18  293    0   38    1
Dec 30 07:37:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:06| 21   7  71   0   0|4405M  226M  169M 2973M|5924B 1620B|   0   356k|   0  36.0 |2328  3955 |1.74 1.69 0.99|3.0   0  88|   0     0 |   0     0 | 18  293    0   38    1
Dec 30 07:37:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:37:07| 26   4  69   0   0|4450M  181M  169M 2973M|5505B 1619B|   0   308k|   0  29.0 |2036  3109 |1.68 1.68 0.99|3.0   0 2.0|   0     0 |   0     0 | 18  293    0   40    1
